frame_index,time_s,detected,target_x_m,target_y_m,target_z_m,target_wrist_rotate_rad,target_gripper
0,0.0,True,0.185171,-0.08356,0.24488,0.0,0.024
1,0.03427382297551789,True,0.188489,-0.080946,0.24406,-0.001438,0.024
2,0.06854764595103578,True,0.188934,-0.078276,0.243334,-0.002464,0.024
3,0.10282146892655367,True,0.195167,-0.075855,0.242289,-0.009049,0.024
4,0.13709529190207156,True,0.196206,-0.072987,0.241196,-0.010923,0.024
5,0.17136911487758946,True,0.195115,-0.068768,0.239665,-0.010336,0.024
6,0.20564293785310733,True,0.192833,-0.066016,0.238813,-0.002918,0.024
7,0.23991676082862523,True,0.191761,-0.063862,0.237166,0.007921,0.024
8,0.27419058380414313,True,0.19007,-0.058419,0.234105,0.017336,0.024
9,0.308464406779661,True,0.188497,-0.056118,0.230958,0.032956,0.024
10,0.3427382297551789,True,0.18994,-0.054256,0.227373,0.045419,0.024
11,0.3770120527306968,True,0.194792,-0.049427,0.223052,0.048703,0.024
12,0.41128587570621467,True,0.19915,-0.043769,0.219198,0.052007,0.024
13,0.44555969868173256,True,0.202667,-0.039556,0.216295,0.057325,0.024
14,0.47983352165725046,True,0.205374,-0.029991,0.213068,0.058066,0.024
15,0.5141073446327684,True,0.205136,-0.020795,0.209801,0.059815,0.024
16,0.5483811676082863,True,0.204,-0.011402,0.20582,0.062915,0.024
17,0.5826549905838041,True,0.203643,-0.001116,0.20129,0.063811,0.024
18,0.616928813559322,True,0.203829,0.010245,0.195805,0.067911,0.024
19,0.6512026365348399,True,0.203922,0.021646,0.188715,0.071177,0.024
20,0.6854764595103578,True,0.204278,0.033661,0.180804,0.073295,0.024
21,0.7197502824858757,True,0.20326,0.044271,0.172195,0.077326,0.024
22,0.7540241054613936,True,0.201224,0.055299,0.163542,0.080179,0.024
23,0.7882979284369115,True,0.198426,0.064517,0.155742,0.083938,0.024
24,0.8225717514124293,True,0.197413,0.071655,0.14939,0.088971,0.024
25,0.8568455743879473,True,0.196542,0.077954,0.144223,0.092924,0.024
26,0.8911193973634651,True,0.195549,0.081837,0.141085,0.095427,0.024
27,0.9253932203389831,True,0.195758,0.082375,0.14,0.099737,0.024
28,0.9596670433145009,True,0.197603,0.083783,0.140294,0.101845,0.024
29,0.9939408662900189,True,0.196476,0.085429,0.142849,0.104738,0.024
30,1.0282146892655368,True,0.194615,0.088664,0.147433,0.108308,0.024
31,1.0624885122410546,True,0.194556,0.092436,0.153179,0.109572,0.024
32,1.0967623352165725,True,0.195065,0.098259,0.160136,0.106712,0.024
33,1.1310361581920905,True,0.196947,0.1,0.168492,0.102427,0.024
34,1.1653099811676082,True,0.201434,0.099819,0.177378,0.094652,0.024
35,1.1995838041431262,True,0.206579,0.09429,0.187345,0.087051,0.024
36,1.233857627118644,True,0.214589,0.088577,0.198335,0.077542,0.024
37,1.268131450094162,True,0.230742,0.083538,0.208858,0.064786,0.024
38,1.3024052730696798,True,0.246608,0.077948,0.219741,0.053823,0.024
39,1.3366790960451977,True,0.263134,0.071126,0.230172,0.042641,0.024
40,1.3709529190207157,True,0.278458,0.066929,0.240036,0.032025,0.024
41,1.4052267419962334,True,0.292308,0.063007,0.248562,0.024679,0.024
42,1.4395005649717514,True,0.297842,0.056888,0.256141,0.023449,0.024
43,1.4737743879472693,True,0.3,0.055462,0.262324,0.020806,0.024
44,1.5080482109227873,True,0.298775,0.055165,0.26768,0.020946,0.024
45,1.542322033898305,True,0.297246,0.054034,0.27169,0.022803,0.024
46,1.576595856873823,True,0.291687,0.052952,0.275089,0.02497,0.024
47,1.610869679849341,True,0.283645,0.051662,0.277983,0.026165,0.024
48,1.6451435028248587,True,0.275022,0.048259,0.280028,0.027959,0.024
49,1.6794173258003766,True,0.270228,0.046787,0.280934,0.026909,0.024
50,1.7136911487758946,True,0.267098,0.04528,0.280959,0.022767,0.024
51,1.7479649717514125,True,0.263473,0.039661,0.280759,0.022202,0.024
52,1.7822387947269303,True,0.263962,0.034851,0.280177,0.021629,0.024
53,1.8165126177024482,True,0.267581,0.032934,0.279014,0.019589,0.024
54,1.8507864406779662,True,0.269427,0.028765,0.278282,0.021494,0.024
55,1.885060263653484,True,0.27082,0.032284,0.277482,0.018524,0.024
56,1.9193340866290018,True,0.271528,0.038072,0.277183,0.016896,0.024
57,1.9536079096045198,True,0.268607,0.048274,0.277355,0.013783,0.024
58,1.9878817325800378,True,0.263482,0.055808,0.278961,0.012366,0.024
59,2.0221555555555555,True,0.255357,0.069994,0.281205,0.002711,0.024
60,2.0564293785310737,True,0.246528,0.075069,0.28508,0.000126,0.024
61,2.0907032015065914,True,0.239891,0.080495,0.289268,-0.011185,0.024
62,2.124977024482109,True,0.232753,0.080397,0.293319,-0.022577,0.024
63,2.1592508474576273,True,0.223681,0.078609,0.296394,-0.037814,0.024
64,2.193524670433145,True,0.215604,0.072008,0.298886,-0.049639,0.024
65,2.2277984934086628,True,0.209652,0.068513,0.299838,-0.0674,0.024
66,2.262072316384181,True,0.204738,0.065817,0.3,-0.085916,0.024
67,2.2963461393596987,True,0.202083,0.061034,0.299687,-0.106215,0.024
68,2.3306199623352164,True,0.201151,0.055485,0.299064,-0.126827,0.024
69,2.3648937853107346,True,0.200407,0.047346,0.297997,-0.148268,0.024
70,2.3991676082862523,True,0.198638,0.03799,0.296958,-0.167926,0.024
71,2.43344143126177,True,0.195728,0.026812,0.295839,-0.183492,0.024
72,2.467715254237288,True,0.192176,0.017172,0.294821,-0.196096,0.024
73,2.501989077212806,True,0.188955,0.009086,0.293809,-0.203811,0.024
74,2.536262900188324,True,0.186493,0.002788,0.292851,-0.207807,0.024
75,2.570536723163842,True,0.184054,-0.00206,0.291952,-0.210246,0.024
