frame_index,time_s,detected,target_x_m,target_y_m,target_z_m,target_wrist_rotate_rad,target_gripper
0,0.0,True,0.24,0.0,0.22,0.0,0.024
1,0.03427382297551789,True,0.241303,0.002614,0.21918,-0.000418,0.024
2,0.06854764595103578,True,0.241478,0.005284,0.218453,-0.000758,0.024
3,0.10282146892655367,True,0.243925,0.007705,0.217409,0.004333,0.024
4,0.13709529190207156,True,0.244333,0.010573,0.216316,0.004441,0.024
5,0.17136911487758946,True,0.243905,0.014792,0.214784,0.006292,0.024
6,0.20564293785310733,True,0.243009,0.017544,0.213933,0.012615,0.024
7,0.23991676082862523,True,0.242588,0.019698,0.212286,0.022559,0.024
8,0.27419058380414313,True,0.241924,0.025141,0.209225,0.024618,0.024
9,0.308464406779661,True,0.241306,0.027442,0.206078,0.025307,0.024
10,0.3427382297551789,True,0.241873,0.029304,0.202493,0.027687,0.024
11,0.3770120527306968,True,0.243778,0.034133,0.198172,0.024857,0.024
12,0.41128587570621467,True,0.245489,0.039791,0.194317,0.021901,0.024
13,0.44555969868173256,True,0.24687,0.044004,0.191415,0.025312,0.024
14,0.47983352165725046,True,0.247933,0.053569,0.188188,0.031032,0.024
15,0.5141073446327684,True,0.24784,0.062765,0.184921,0.037013,0.024
16,0.5483811676082863,True,0.247394,0.072158,0.18094,0.044887,0.024
17,0.5826549905838041,True,0.247254,0.082444,0.17641,0.051259,0.024
18,0.616928813559322,True,0.247327,0.093805,0.170925,0.057448,0.024
19,0.6512026365348399,True,0.247363,0.1,0.163835,0.066693,0.024
20,0.6854764595103578,True,0.247503,0.1,0.155924,0.076532,0.024
21,0.7197502824858757,True,0.247103,0.1,0.147315,0.085023,0.024
22,0.7540241054613936,True,0.246304,0.1,0.138662,0.091967,0.024
23,0.7882979284369115,True,0.245205,0.1,0.130862,0.097533,0.024
24,0.8225717514124293,True,0.244807,0.1,0.12451,0.100035,0.024
25,0.8568455743879473,True,0.244465,0.1,0.119343,0.100275,0.024
26,0.8911193973634651,True,0.244075,0.1,0.116205,0.105273,0.024
27,0.9253932203389831,True,0.244157,0.1,0.11512,0.112183,0.024
28,0.9596670433145009,True,0.244882,0.1,0.115414,0.119973,0.024
29,0.9939408662900189,True,0.244439,0.1,0.117968,0.129719,0.024
30,1.0282146892655368,True,0.243709,0.1,0.122553,0.136304,0.024
31,1.0624885122410546,True,0.243685,0.1,0.128299,0.139824,0.024
32,1.0967623352165725,True,0.243885,0.1,0.135256,0.139531,0.024
33,1.1310361581920905,True,0.244624,0.1,0.143612,0.139603,0.024
34,1.1653099811676082,True,0.246386,0.1,0.152498,0.136312,0.024
35,1.1995838041431262,True,0.248407,0.1,0.162465,0.137132,0.024
36,1.233857627118644,True,0.251552,0.1,0.173455,0.125117,0.024
37,1.268131450094162,True,0.257896,0.1,0.183978,0.108579,0.024
38,1.3024052730696798,True,0.264126,0.1,0.19486,0.08992,0.024
39,1.3366790960451977,True,0.270615,0.1,0.205291,0.071043,0.024
40,1.3709529190207157,True,0.276633,0.1,0.215155,0.048131,0.024
41,1.4052267419962334,True,0.282072,0.1,0.223682,0.037024,0.024
42,1.4395005649717514,True,0.284245,0.1,0.231261,0.032929,0.024
43,1.4737743879472693,True,0.285093,0.1,0.237444,0.027719,0.024
44,1.5080482109227873,True,0.284612,0.1,0.2428,0.026417,0.024
45,1.542322033898305,True,0.284011,0.1,0.24681,0.027052,0.024
46,1.576595856873823,True,0.281828,0.1,0.250209,0.027714,0.024
47,1.610869679849341,True,0.27867,0.1,0.253103,0.026527,0.024
48,1.6451435028248587,True,0.275284,0.1,0.255148,0.02549,0.024
49,1.6794173258003766,True,0.273401,0.1,0.256053,0.020078,0.024
50,1.7136911487758946,True,0.272172,0.1,0.256079,0.014988,0.024
51,1.7479649717514125,True,0.270749,0.1,0.255879,0.010935,0.024
52,1.7822387947269303,True,0.270941,0.1,0.255297,0.006235,0.024
53,1.8165126177024482,True,0.272362,0.1,0.254133,0.001844,0.024
54,1.8507864406779662,True,0.273087,0.1,0.253402,0.000296,0.024
55,1.885060263653484,True,0.273634,0.1,0.252602,-0.006389,0.024
56,1.9193340866290018,True,0.273912,0.1,0.252303,-0.012375,0.024
57,1.9536079096045198,True,0.272765,0.1,0.252475,-0.02431,0.024
58,1.9878817325800378,True,0.270752,0.1,0.25408,-0.043986,0.024
59,2.0221555555555555,True,0.267562,0.1,0.256325,-0.076285,0.024
60,2.0564293785310737,True,0.264095,0.1,0.2602,-0.12538,0.024
61,2.0907032015065914,True,0.261488,0.1,0.264388,-0.196698,0.024
62,2.124977024482109,True,0.258685,0.1,0.268439,-0.264426,0.024
63,2.1592508474576273,True,0.255122,0.1,0.271514,-0.348983,0.024
64,2.193524670433145,True,0.251951,0.1,0.274006,-0.440579,0.024
65,2.2277984934086628,True,0.249614,0.1,0.274958,-0.080084,0.024
66,2.262072316384181,True,0.247684,0.1,0.27512,0.280225,0.024
67,2.2963461393596987,True,0.246641,0.1,0.274807,0.640145,0.024
68,2.3306199623352164,True,0.246275,0.1,0.274184,1.018664,0.024
69,2.3648937853107346,True,0.245983,0.1,0.273117,1.408453,0.024
70,2.3991676082862523,True,0.245289,0.1,0.272077,1.362969,0.024
71,2.43344143126177,True,0.244145,0.1,0.270958,1.335493,0.024
72,2.467715254237288,True,0.242751,0.1,0.26994,1.311643,0.024
73,2.501989077212806,True,0.241486,0.092646,0.268928,1.296927,0.024
74,2.536262900188324,True,0.240519,0.086348,0.267971,1.292362,0.024
75,2.570536723163842,True,0.239561,0.0815,0.267072,1.290935,0.024
76,2.6048105461393596,True,0.238963,0.079422,0.266174,1.291452,0.024
77,2.6390843691148778,True,0.238327,0.077662,0.265621,1.291732,0.024
78,2.6733581920903955,True,0.237969,0.077735,0.265231,1.293101,0.024
79,2.7076320150659132,True,0.23814,0.080469,0.264864,1.295449,0.024
80,2.7419058380414314,True,0.238096,0.080178,0.265075,1.306314,0.024
81,2.776179661016949,True,0.238419,0.077502,0.265821,1.325074,0.024
82,2.810453483992467,True,0.239664,0.076276,0.266718,1.358026,0.024
83,2.844727306967985,True,0.24231,0.072674,0.26781,0.973253,0.024
84,2.8790011299435028,True,0.245929,0.070553,0.269167,0.628962,0.024
85,2.9132749529190205,True,0.250728,0.073408,0.269249,0.298295,0.024
86,2.9475487758945387,True,0.255711,0.079209,0.268082,-0.012185,0.024
87,2.9818225988700564,True,0.262377,0.080661,0.266316,-0.323589,0.024
88,3.0160964218455746,True,0.267701,0.086993,0.263899,-0.212941,0.024
89,3.0503702448210923,True,0.270558,0.088587,0.261059,-0.138671,0.024
90,3.08464406779661,True,0.270935,0.082688,0.258739,-0.075893,0.024
91,3.118917890772128,True,0.272045,0.078518,0.257477,-0.04346,0.024
92,3.153191713747646,True,0.270953,0.072535,0.257896,-0.020223,0.024
93,3.1874655367231637,True,0.271199,0.064808,0.258191,-0.006256,0.024
94,3.221739359698682,True,0.271588,0.053118,0.259321,0.00329,0.024
95,3.2560131826741996,True,0.272745,0.046565,0.260133,0.004229,0.024
96,3.2902870056497173,True,0.27277,0.037326,0.260772,0.006857,0.024
97,3.3245608286252355,True,0.273131,0.035396,0.260298,0.005337,0.024
98,3.3588346516007532,True,0.272054,0.028612,0.260581,0.009247,0.024
99,3.3931084745762714,True,0.271446,0.025527,0.2606,0.013107,0.024
100,3.427382297551789,True,0.271383,0.022647,0.260898,0.017279,0.024
101,3.461656120527307,True,0.270448,0.019276,0.261168,0.023646,0.024
102,3.495929943502825,True,0.269001,0.015513,0.261263,0.029671,0.024
103,3.5302037664783428,True,0.267958,0.014953,0.261115,0.033956,0.024
104,3.5644775894538605,True,0.267916,0.015111,0.260813,0.036813,0.024
105,3.5987514124293787,True,0.26799,0.015245,0.260908,0.038245,0.024
106,3.6330252354048964,True,0.269056,0.017048,0.260879,0.036141,0.024
107,3.667299058380414,True,0.270025,0.016082,0.26092,0.035681,0.024
108,3.7015728813559323,True,0.269875,0.013225,0.261345,0.034196,0.024
109,3.73584670433145,True,0.269825,0.011082,0.261572,0.028823,0.024
110,3.770120527306968,True,0.268564,0.005686,0.262033,0.02695,0.024
111,3.804394350282486,True,0.267061,-0.002232,0.262405,0.026282,0.024
112,3.8386681732580037,True,0.265698,-0.00796,0.262588,0.024266,0.024
113,3.872941996233522,True,0.265272,-0.011412,0.26231,0.021188,0.024
114,3.9072158192090396,True,0.264082,-0.016193,0.262231,0.020914,0.024
115,3.9414896421845573,True,0.265097,-0.016179,0.261707,0.017976,0.024
116,3.9757634651600755,True,0.265322,-0.015834,0.261498,0.016835,0.024
117,4.010037288135593,True,0.26554,-0.01644,0.261256,0.016644,0.024
